PERFIL FINANCIERO,ACTIVO,PASIVO,CAPITAL CONTABLE,ID_MES,MES,ANIO
VIVIBANCO S. A.,765152,612169,152982,6,ABRIL,2021
FICOHSA GUATEMALA S. A.,3165145,2838471,326674,6,ABRIL,2021
PROMERICA S. A.,18026749,16379000,1647749,6,ABRIL,2021
DE ANTIGUA S. A.,1536311,1340610,195702,6,ABRIL,2021
DE AMERICA CENTRAL S. A.,34464484,31362892,3101591,6,ABRIL,2021
AGROMERCANTIL DE GUATEMALA S. A.,32333473,29487991,2845482,6,ABRIL,2021
G&T CONTINENTAL S. A.,56565789,51398575,5167214,6,ABRIL,2021
AZTECA DE GUATEMALA S. A.,1936622,1317803,618819,6,ABRIL,2021
INV S. A.,913513,792712,120801,6,ABRIL,2021
CREDICORP S. A.,493224,440444,52780,6,ABRIL,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5603350,5310799,292552,7,MAYO,2021
INMOBILIARIO S. A.,2010207,1670702,339505,7,MAYO,2021
DE LOS TRABAJADORES,28887509,24834384,4053125,7,MAYO,2021
INDUSTRIAL S. A.,112844349,104174738,8669612,7,MAYO,2021
DE DESARROLLO RURAL S. A.,88765495,80642851,8122645,7,MAYO,2021
INTERNACIONAL S. A.,11480163,10422292,1057871,7,MAYO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4229080,3858680,370401,7,MAYO,2021
VIVIBANCO S. A.,773247,618676,154571,7,MAYO,2021
FICOHSA GUATEMALA S. A.,3189467,2861165,328302,7,MAYO,2021
PROMERICA S. A.,18600360,16908350,1692010,7,MAYO,2021
DE ANTIGUA S. A.,1455811,1340736,115076,7,MAYO,2021
DE AMERICA CENTRAL S. A.,34241674,31109129,3132545,7,MAYO,2021
AGROMERCANTIL DE GUATEMALA S. A.,32111207,29220384,2890823,7,MAYO,2021
G&T CONTINENTAL S. A.,56792070,51571478,5220592,7,MAYO,2021
AZTECA DE GUATEMALA S. A.,1975132,1342920,632212,7,MAYO,2021
INV S. A.,892368,770735,121634,7,MAYO,2021
CREDICORP S. A.,505062,451678,53384,7,MAYO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5697101,5394659,302441,8,JUNIO,2021
INMOBILIARIO S. A.,2040048,1699113,340935,8,JUNIO,2021
DE LOS TRABAJADORES,29401801,25278440,4123362,8,JUNIO,2021
INDUSTRIAL S. A.,112157910,103325518,8832393,8,JUNIO,2021
DE DESARROLLO RURAL S. A.,89306747,81077435,8229312,8,JUNIO,2021
INTERNACIONAL S. A.,11606405,10535395,1071010,8,JUNIO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,4327959,3940159,387800,8,JUNIO,2021
VIVIBANCO S. A.,758676,602848,155829,8,JUNIO,2021
FICOHSA GUATEMALA S. A.,3308694,2973152,335542,8,JUNIO,2021
PROMERICA S. A.,18754447,17062140,1692306,8,JUNIO,2021
DE ANTIGUA S. A.,1461456,1345850,115606,8,JUNIO,2021
DE AMERICA CENTRAL S. A.,34088317,30917739,3170578,8,JUNIO,2021
AGROMERCANTIL DE GUATEMALA S. A.,32407601,29470436,2937165,8,JUNIO,2021
G&T CONTINENTAL S. A.,58326895,53014694,5312201,8,JUNIO,2021
AZTECA DE GUATEMALA S. A.,1992287,1350817,641469,8,JUNIO,2021
INV S. A.,890923,768414,122509,8,JUNIO,2021
CREDICORP S. A.,503984,449839,54145,8,JUNIO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5573490,5295979,277511,9,JULIO,2021
INMOBILIARIO S. A.,2056943,1713945,342997,9,JULIO,2021
DE LOS TRABAJADORES,29673630,25482561,4191069,9,JULIO,2021
INDUSTRIAL S. A.,116070499,107068050,9002449,9,JULIO,2021
DE DESARROLLO RURAL S. A.,91018509,82691485,8327024,9,JULIO,2021
INTERNACIONAL S. A.,11993491,10909739,1083752,9,JULIO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,3933182,3630783,302399,9,JULIO,2021
VIVIBANCO S. A.,761006,604527,156479,9,JULIO,2021
FICOHSA GUATEMALA S. A.,3295446,2951320,344126,9,JULIO,2021
PROMERICA S. A.,18930936,17209200,1721736,9,JULIO,2021
DE ANTIGUA S. A.,1469913,1354030,115883,9,JULIO,2021
DE AMERICA CENTRAL S. A.,33734254,30556609,3177644,9,JULIO,2021
AGROMERCANTIL DE GUATEMALA S. A.,32411419,29423233,2988187,9,JULIO,2021
G&T CONTINENTAL S. A.,59419330,54055231,5364098,9,JULIO,2021
AZTECA DE GUATEMALA S. A.,1997823,1342423,655400,9,JULIO,2021
INV S. A.,907060,782810,124250,9,JULIO,2021
CREDICORP S. A.,507522,452624,54898,9,JULIO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5773458,5486153,287306,10,AGOSTO,2021
INMOBILIARIO S. A.,2044948,1701380,343568,10,AGOSTO,2021
DE LOS TRABAJADORES,30001132,25735495,4265637,10,AGOSTO,2021
INDUSTRIAL S. A.,116110075,106951178,9158897,10,AGOSTO,2021
DE DESARROLLO RURAL S. A.,91047476,82527220,8520256,10,AGOSTO,2021
INTERNACIONAL S. A.,11909935,10812985,1096950,10,AGOSTO,2021
CITIBANK N.A. SUCURSAL GUATEMALA,3843377,3535972,307405,10,AGOSTO,2021
VIVIBANCO S. A.,779308,622154,157154,10,AGOSTO,2021
FICOHSA GUATEMALA S. A.,3269332,2919395,349937,10,AGOSTO,2021
PROMERICA S. A.,18996017,17272498,1723519,10,AGOSTO,2021
DE ANTIGUA S. A.,1470590,1354440,116150,10,AGOSTO,2021
DE AMERICA CENTRAL S. A.,33548261,30323223,3225038,10,AGOSTO,2021
AGROMERCANTIL DE GUATEMALA S. A.,32191720,29153857,3037863,10,AGOSTO,2021
G&T CONTINENTAL S. A.,59560609,54159859,5400750,10,AGOSTO,2021
AZTECA DE GUATEMALA S. A.,2032570,1366508,666062,10,AGOSTO,2021
INV S. A.,895404,770341,125064,10,AGOSTO,2021
CREDICORP S. A.,536807,481470,55337,10,AGOSTO,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5809277,5515940,293338,11,SEPTIEMBRE,2021
INMOBILIARIO S. A.,2060595,1716839,343756,11,SEPTIEMBRE,2021
DE LOS TRABAJADORES,30278076,25937821,4340254,11,SEPTIEMBRE,2021
INDUSTRIAL S. A.,115984105,106619629,9364476,11,SEPTIEMBRE,2021
DE DESARROLLO RURAL S. A.,91460417,82843352,8617066,11,SEPTIEMBRE,2021
INTERNACIONAL S. A.,11764199,10652823,1111376,11,SEPTIEMBRE,2021
CITIBANK N.A. SUCURSAL GUATEMALA,3805357,3492143,313215,11,SEPTIEMBRE,2021
VIVIBANCO S. A.,779006,621122,157885,11,SEPTIEMBRE,2021
FICOHSA GUATEMALA S. A.,3249575,2893180,356395,11,SEPTIEMBRE,2021
PROMERICA S. A.,19061136,17328491,1732645,11,SEPTIEMBRE,2021
DE ANTIGUA S. A.,1485212,1368805,116406,11,SEPTIEMBRE,2021
DE AMERICA CENTRAL S. A.,34199384,30875227,3324157,11,SEPTIEMBRE,2021
AGROMERCANTIL DE GUATEMALA S. A.,33320286,30234188,3086097,11,SEPTIEMBRE,2021
G&T CONTINENTAL S. A.,59561468,54007615,5553853,11,SEPTIEMBRE,2021
AZTECA DE GUATEMALA S. A.,2056519,1381735,674784,11,SEPTIEMBRE,2021
INV S. A.,894188,768258,125930,11,SEPTIEMBRE,2021
CREDICORP S. A.,563242,506857,56384,11,SEPTIEMBRE,2021
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA,5686082,5382124,303958,12,OCTUBRE,2021
INMOBILIARIO S. A.,2082353,1739845,342508,12,OCTUBRE,2021
DE LOS TRABAJADORES,30493687,26082654,4411033,12,OCTUBRE,2021
INDUSTRIAL S. A.,119259432,109728440,9530991,12,OCTUBRE,2021
DE DESARROLLO RURAL S. A.,92682411,83969569,8712841,12,OCTUBRE,2021
INTERNACIONAL S. A.,11893705,10760062,1133643,12,OCTUBRE,2021
CITIBANK N.A. SUCURSAL GUATEMALA,3646202,3326769,319433,12,OCTUBRE,2021
VIVIBANCO S. A.,816127,657466,158660,12,OCTUBRE,2021
FICOHSA GUATEMALA S. A.,3333620,2968780,364840,12,OCTUBRE,2021
PROMERICA S. A.,18914042,17151004,1763038,12,OCTUBRE,2021
DE ANTIGUA S. A.,1504168,1387371,116797,12,OCTUBRE,2021
DE AMERICA CENTRAL S. A.,35097326,31750880,3346447,12,OCTUBRE,2021
AGROMERCANTIL DE GUATEMALA S. A.,32880175,29749604,3130571,12,OCTUBRE,2021
G&T CONTINENTAL S. A.,60133950,54529597,5604353,12,OCTUBRE,2021
AZTECA DE GUATEMALA S. A.,2064865,1381462,683404,12,OCTUBRE,2021
INV S. A.,907157,780402,126754,12,OCTUBRE,2021
CREDICORP S. A.,590360,532896,57464,12,OCTUBRE,2021
