banco;activo;pasivo;capital;mes
CREDICORP, S. A.;493224;440444;52780;6
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5603350;5310799;292552;7
INMOBILIARIO, S. A.;2010207;1670702;339505;7
DE LOS TRABAJADORES;28887509;24834384;4053125;7
INDUSTRIAL, S. A.;112844349;104174738;8669612;7
DE DESARROLLO RURAL, S. A.;88765495;80642851;8122645;7
INTERNACIONAL, S. A.;11480163;10422292;1057871;7
CITIBANK N.A. SUCURSAL GUATEMALA;4229080;3858680;370401;7
VIVIBANCO, S. A.;773247;618676;154571;7
FICOHSA GUATEMALA, S. A.;3189467;2861165;328302;7
PROMERICA, S. A.;18600360;16908350;1692010;7
DE ANTIGUA, S. A.;1455811;1340736;115076;7
DE AMERICA CENTRAL, S. A.;34241674;31109129;3132545;7
AGROMERCANTIL DE GUATEMALA, S. A.;32111207;29220384;2890823;7
G&T CONTINENTAL, S. A.;56792070;51571478;5220592;7
AZTECA DE GUATEMALA, S. A.;1975132;1342920;632212;7
INV, S. A.;892368;770735;121634;7
CREDICORP, S. A.;505062;451678;53384;7
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5697101;5394659;302441;8
INMOBILIARIO, S. A.;2040048;1699113;340935;8
DE LOS TRABAJADORES;29401801;25278440;4123362;8
INDUSTRIAL, S. A.;112157910;103325518;8832393;8
DE DESARROLLO RURAL, S. A.;89306747;81077435;8229312;8
INTERNACIONAL, S. A.;11606405;10535395;1071010;8
CITIBANK N.A. SUCURSAL GUATEMALA;4327959;3940159;387800;8
VIVIBANCO, S. A.;758676;602848;155829;8
FICOHSA GUATEMALA, S. A.;3308694;2973152;335542;8
PROMERICA, S. A.;18754447;17062140;1692306;8
DE ANTIGUA, S. A.;1461456;1345850;115606;8
DE AMERICA CENTRAL, S. A.;34088317;30917739;3170578;8
AGROMERCANTIL DE GUATEMALA, S. A.;32407601;29470436;2937165;8
G&T CONTINENTAL, S. A.;58326895;53014694;5312201;8
AZTECA DE GUATEMALA, S. A.;1992287;1350817;641469;8
INV, S. A.;890923;768414;122509;8
CREDICORP, S. A.;503984;449839;54145;8
EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA;5573490;5295979;277511;9
INMOBILIARIO, S. A.;2056943;1713945;342997;9
DE LOS TRABAJADORES;29673630;25482561;4191069;9
INDUSTRIAL, S. A.;116070499;107068050;9002449;9
DE DESARROLLO RURAL, S. A.;91018509;82691485;8327024;9
INTERNACIONAL, S. A.;11993491;10909739;1083752;9
CITIBANK N.A. SUCURSAL GUATEMALA;3933182;3630783;302399;9
VIVIBANCO, S. A.;761006;604527;156479;9
